symbol,eob,close
SZSE.159959,2021-04-27 00:00:00+08:00,1.211
SZSE.159959,2021-04-26 00:00:00+08:00,1.221
SZSE.159959,2021-04-23 00:00:00+08:00,1.221
SZSE.159959,2021-04-22 00:00:00+08:00,1.223
SZSE.159959,2021-04-21 00:00:00+08:00,1.223
SZSE.159959,2021-04-20 00:00:00+08:00,1.228
SZSE.159959,2021-04-19 00:00:00+08:00,1.229
SZSE.159959,2021-04-16 00:00:00+08:00,1.208
SZSE.159959,2021-04-15 00:00:00+08:00,1.2
SZSE.159959,2021-04-14 00:00:00+08:00,1.205
SZSE.159959,2021-04-13 00:00:00+08:00,1.189
SZSE.159959,2021-04-12 00:00:00+08:00,1.203
SZSE.159959,2021-04-09 00:00:00+08:00,1.22
SZSE.159959,2021-04-08 00:00:00+08:00,1.23
SZSE.159959,2021-04-07 00:00:00+08:00,1.234
SZSE.159959,2021-04-06 00:00:00+08:00,1.233
SZSE.159959,2021-04-02 00:00:00+08:00,1.23
SZSE.159959,2021-04-01 00:00:00+08:00,1.23
SZSE.159959,2021-03-31 00:00:00+08:00,1.221
SZSE.159959,2021-03-30 00:00:00+08:00,1.224
SZSE.159959,2021-03-29 00:00:00+08:00,1.22
SZSE.159959,2021-03-26 00:00:00+08:00,1.214
SZSE.159959,2021-03-25 00:00:00+08:00,1.191
SZSE.159959,2021-03-24 00:00:00+08:00,1.191
SZSE.159959,2021-03-23 00:00:00+08:00,1.21
SZSE.159959,2021-03-22 00:00:00+08:00,1.232
SZSE.159959,2021-03-19 00:00:00+08:00,1.212
SZSE.159959,2021-03-18 00:00:00+08:00,1.228
SZSE.159959,2021-03-17 00:00:00+08:00,1.221
SZSE.159959,2021-03-16 00:00:00+08:00,1.217
SZSE.159959,2021-03-15 00:00:00+08:00,1.211
SZSE.159959,2021-03-12 00:00:00+08:00,1.226
SZSE.159959,2021-03-11 00:00:00+08:00,1.209
SZSE.159959,2021-03-10 00:00:00+08:00,1.186
SZSE.159959,2021-03-09 00:00:00+08:00,1.191
SZSE.159959,2021-03-08 00:00:00+08:00,1.217
SZSE.159959,2021-03-05 00:00:00+08:00,1.251
SZSE.159959,2021-03-04 00:00:00+08:00,1.253
SZSE.159959,2021-03-03 00:00:00+08:00,1.278
SZSE.159959,2021-03-02 00:00:00+08:00,1.266
SZSE.159959,2021-03-01 00:00:00+08:00,1.269
SZSE.159959,2021-02-26 00:00:00+08:00,1.241
SZSE.159959,2021-02-25 00:00:00+08:00,1.27
SZSE.159959,2021-02-24 00:00:00+08:00,1.257
SZSE.159959,2021-02-23 00:00:00+08:00,1.276
SZSE.159959,2021-02-22 00:00:00+08:00,1.28
SZSE.159959,2021-02-19 00:00:00+08:00,1.294
SZSE.159959,2021-02-18 00:00:00+08:00,1.279
SZSE.159959,2021-02-10 00:00:00+08:00,1.276
SZSE.159959,2021-02-09 00:00:00+08:00,1.26
SZSE.159959,2021-02-08 00:00:00+08:00,1.226
SZSE.159959,2021-02-05 00:00:00+08:00,1.207
SZSE.159959,2021-02-04 00:00:00+08:00,1.216
SZSE.159959,2021-02-03 00:00:00+08:00,1.235
SZSE.159959,2021-02-02 00:00:00+08:00,1.254
SZSE.159959,2021-02-01 00:00:00+08:00,1.243
SZSE.159959,2021-01-29 00:00:00+08:00,1.235
SZSE.159959,2021-01-28 00:00:00+08:00,1.248
SZSE.159959,2021-01-27 00:00:00+08:00,1.285
SZSE.159959,2021-01-26 00:00:00+08:00,1.278
SZSE.159959,2021-01-25 00:00:00+08:00,1.312
SZSE.159959,2021-01-22 00:00:00+08:00,1.307
SZSE.159959,2021-01-21 00:00:00+08:00,1.309
SZSE.159959,2021-01-20 00:00:00+08:00,1.295
SZSE.159959,2021-01-19 00:00:00+08:00,1.286
SZSE.159959,2021-01-18 00:00:00+08:00,1.298
SZSE.159959,2021-01-15 00:00:00+08:00,1.278
SZSE.159959,2021-01-14 00:00:00+08:00,1.29
SZSE.159959,2021-01-13 00:00:00+08:00,1.312
SZSE.159959,2021-01-12 00:00:00+08:00,1.305
SZSE.159959,2021-01-11 00:00:00+08:00,1.271
SZSE.159959,2021-01-08 00:00:00+08:00,1.283
