symbol,eob,close
SHSE.512690,2022-02-23 00:00:00+08:00,0.877
SHSE.512690,2022-02-22 00:00:00+08:00,0.865
SHSE.512690,2022-02-21 00:00:00+08:00,0.886
SHSE.512690,2022-02-18 00:00:00+08:00,0.888
SHSE.512690,2022-02-17 00:00:00+08:00,0.883
SHSE.512690,2022-02-16 00:00:00+08:00,0.885
SHSE.512690,2022-02-15 00:00:00+08:00,0.881
SHSE.512690,2022-02-14 00:00:00+08:00,0.866
SHSE.512690,2022-02-11 00:00:00+08:00,0.852
SHSE.512690,2022-02-10 00:00:00+08:00,0.851
SHSE.512690,2022-02-09 00:00:00+08:00,0.86
SHSE.512690,2022-02-08 00:00:00+08:00,0.82
SHSE.512690,2022-02-07 00:00:00+08:00,0.844
SHSE.512690,2022-01-28 00:00:00+08:00,0.845
SHSE.512690,2022-01-27 00:00:00+08:00,0.87
SHSE.512690,2022-01-26 00:00:00+08:00,0.879
SHSE.512690,2022-01-25 00:00:00+08:00,0.872
SHSE.512690,2022-01-24 00:00:00+08:00,0.894
SHSE.512690,2022-01-21 00:00:00+08:00,0.9
SHSE.512690,2022-01-20 00:00:00+08:00,0.888
SHSE.512690,2022-01-19 00:00:00+08:00,0.873
SHSE.512690,2022-01-18 00:00:00+08:00,0.883
SHSE.512690,2022-01-17 00:00:00+08:00,0.87
SHSE.512690,2022-01-14 00:00:00+08:00,0.865
SHSE.512690,2022-01-13 00:00:00+08:00,0.87
SHSE.512690,2022-01-12 00:00:00+08:00,0.903
SHSE.512690,2022-01-11 00:00:00+08:00,0.895
SHSE.512690,2022-01-10 00:00:00+08:00,0.907
SHSE.512690,2022-01-07 00:00:00+08:00,0.912
SHSE.512690,2022-01-06 00:00:00+08:00,0.931
SHSE.512690,2022-01-05 00:00:00+08:00,0.945
SHSE.512690,2022-01-04 00:00:00+08:00,0.953
SHSE.512690,2021-12-31 00:00:00+08:00,0.965
SHSE.512690,2021-12-30 00:00:00+08:00,1.323
SHSE.512690,2021-12-29 00:00:00+08:00,1.329
SHSE.512690,2021-12-28 00:00:00+08:00,1.378
SHSE.512690,2021-12-27 00:00:00+08:00,1.36
SHSE.512690,2021-12-24 00:00:00+08:00,1.373
SHSE.512690,2021-12-23 00:00:00+08:00,1.375
SHSE.512690,2021-12-22 00:00:00+08:00,1.346
SHSE.512690,2021-12-21 00:00:00+08:00,1.34
SHSE.512690,2021-12-20 00:00:00+08:00,1.339
SHSE.512690,2021-12-17 00:00:00+08:00,1.34
SHSE.512690,2021-12-16 00:00:00+08:00,1.373
SHSE.512690,2021-12-15 00:00:00+08:00,1.393
SHSE.512690,2021-12-14 00:00:00+08:00,1.412
SHSE.512690,2021-12-13 00:00:00+08:00,1.402
SHSE.512690,2021-12-10 00:00:00+08:00,1.393
SHSE.512690,2021-12-09 00:00:00+08:00,1.395
SHSE.512690,2021-12-08 00:00:00+08:00,1.369
SHSE.512690,2021-12-07 00:00:00+08:00,1.321
SHSE.512690,2021-12-06 00:00:00+08:00,1.323
SHSE.512690,2021-12-03 00:00:00+08:00,1.324
SHSE.512690,2021-12-02 00:00:00+08:00,1.288
SHSE.512690,2021-12-01 00:00:00+08:00,1.277
SHSE.512690,2021-11-30 00:00:00+08:00,1.273
SHSE.512690,2021-11-29 00:00:00+08:00,1.295
SHSE.512690,2021-11-26 00:00:00+08:00,1.289
SHSE.512690,2021-11-25 00:00:00+08:00,1.293
SHSE.512690,2021-11-24 00:00:00+08:00,1.3
SHSE.512690,2021-11-23 00:00:00+08:00,1.268
SHSE.512690,2021-11-22 00:00:00+08:00,1.263
SHSE.512690,2021-11-19 00:00:00+08:00,1.259
SHSE.512690,2021-11-18 00:00:00+08:00,1.243
SHSE.512690,2021-11-17 00:00:00+08:00,1.241
SHSE.512690,2021-11-16 00:00:00+08:00,1.244
SHSE.512690,2021-11-15 00:00:00+08:00,1.208
SHSE.512690,2021-11-12 00:00:00+08:00,1.203
SHSE.512690,2021-11-11 00:00:00+08:00,1.217
SHSE.512690,2021-11-10 00:00:00+08:00,1.216
SHSE.512690,2021-11-09 00:00:00+08:00,1.24
SHSE.512690,2021-11-08 00:00:00+08:00,1.252
