symbol,close,eob
SZSE.300059,1.3379,2013-11-25 00:00:00+08:00
SZSE.300059,1.3277,2013-11-26 00:00:00+08:00
SZSE.300059,1.3691,2013-11-27 00:00:00+08:00
SZSE.300059,1.3372,2013-11-28 00:00:00+08:00
SZSE.300059,1.3786,2013-11-29 00:00:00+08:00
SZSE.300059,1.2522,2013-12-02 00:00:00+08:00
SZSE.300059,1.2144,2013-12-03 00:00:00+08:00
SZSE.300059,1.2144,2013-12-04 00:00:00+08:00
SZSE.300059,1.1883,2013-12-05 00:00:00+08:00
SZSE.300059,1.2173,2013-12-06 00:00:00+08:00
SZSE.300059,1.2268,2013-12-09 00:00:00+08:00
SZSE.300059,1.1926,2013-12-10 00:00:00+08:00
SZSE.300059,1.1926,2013-12-11 00:00:00+08:00
SZSE.300059,1.2529,2013-12-12 00:00:00+08:00
SZSE.300059,1.2282,2013-12-13 00:00:00+08:00
SZSE.300059,1.1977,2013-12-16 00:00:00+08:00
SZSE.300059,1.1926,2013-12-17 00:00:00+08:00
SZSE.300059,1.1578,2013-12-18 00:00:00+08:00
SZSE.300059,1.1512,2013-12-19 00:00:00+08:00
SZSE.300059,1.1033,2013-12-20 00:00:00+08:00
SZSE.300059,1.0023,2013-12-23 00:00:00+08:00
SZSE.300059,1.0147,2013-12-24 00:00:00+08:00
SZSE.300059,1.0532,2013-12-25 00:00:00+08:00
SZSE.300059,0.9878,2013-12-26 00:00:00+08:00
SZSE.300059,1.0866,2013-12-27 00:00:00+08:00
SZSE.300059,1.1258,2013-12-30 00:00:00+08:00
SZSE.300059,1.1026,2013-12-31 00:00:00+08:00
SZSE.300059,1.104,2014-01-02 00:00:00+08:00
SZSE.300059,1.1396,2014-01-03 00:00:00+08:00
SZSE.300059,1.0532,2014-01-06 00:00:00+08:00
SZSE.300059,1.051,2014-01-07 00:00:00+08:00
SZSE.300059,1.1389,2014-01-08 00:00:00+08:00
SZSE.300059,1.1113,2014-01-09 00:00:00+08:00
SZSE.300059,1.0822,2014-01-10 00:00:00+08:00
SZSE.300059,1.0822,2014-01-13 00:00:00+08:00
SZSE.300059,1.1396,2014-01-14 00:00:00+08:00
SZSE.300059,1.1556,2014-01-15 00:00:00+08:00
SZSE.300059,1.1316,2014-01-16 00:00:00+08:00
SZSE.300059,1.1186,2014-01-17 00:00:00+08:00
SZSE.300059,1.019,2014-01-20 00:00:00+08:00
SZSE.300059,1.0634,2014-01-21 00:00:00+08:00
SZSE.300059,1.1265,2014-01-22 00:00:00+08:00
SZSE.300059,1.1709,2014-01-23 00:00:00+08:00
SZSE.300059,1.2878,2014-01-24 00:00:00+08:00
SZSE.300059,1.2704,2014-01-27 00:00:00+08:00
SZSE.300059,1.242,2014-01-28 00:00:00+08:00
SZSE.300059,1.3524,2014-01-29 00:00:00+08:00
SZSE.300059,1.3953,2014-01-30 00:00:00+08:00
SZSE.300059,1.4149,2014-02-07 00:00:00+08:00
SZSE.300059,1.4389,2014-02-10 00:00:00+08:00
SZSE.300059,1.3466,2014-02-11 00:00:00+08:00
SZSE.300059,1.3488,2014-02-12 00:00:00+08:00
SZSE.300059,1.2921,2014-02-13 00:00:00+08:00
SZSE.300059,1.3452,2014-02-14 00:00:00+08:00
SZSE.300059,1.3626,2014-02-17 00:00:00+08:00
SZSE.300059,1.3045,2014-02-18 00:00:00+08:00
SZSE.300059,1.3147,2014-02-19 00:00:00+08:00
SZSE.300059,1.2704,2014-02-20 00:00:00+08:00
SZSE.300059,1.2486,2014-02-21 00:00:00+08:00
SZSE.300059,1.2783,2014-02-24 00:00:00+08:00
SZSE.300059,1.1905,2014-02-25 00:00:00+08:00
SZSE.300059,1.1876,2014-02-26 00:00:00+08:00
SZSE.300059,1.1534,2014-02-27 00:00:00+08:00
SZSE.300059,1.1745,2014-02-28 00:00:00+08:00
SZSE.300059,1.1825,2014-03-03 00:00:00+08:00
SZSE.300059,1.1817,2014-03-04 00:00:00+08:00
SZSE.300059,1.2914,2014-03-05 00:00:00+08:00
SZSE.300059,1.2689,2014-03-06 00:00:00+08:00
SZSE.300059,1.2457,2014-03-07 00:00:00+08:00
SZSE.300059,1.1716,2014-03-10 00:00:00+08:00
SZSE.300059,1.1694,2014-03-11 00:00:00+08:00
SZSE.300059,1.1607,2014-03-12 00:00:00+08:00
SZSE.300059,1.1738,2014-03-13 00:00:00+08:00
SZSE.300059,1.16,2014-03-14 00:00:00+08:00
SZSE.300059,1.2108,2014-03-17 00:00:00+08:00
SZSE.300059,1.2384,2014-03-18 00:00:00+08:00
SZSE.300059,1.2268,2014-03-19 00:00:00+08:00
SZSE.300059,1.2268,2014-03-20 00:00:00+08:00
SZSE.300059,1.2304,2014-03-21 00:00:00+08:00
SZSE.300059,1.3001,2014-03-24 00:00:00+08:00
SZSE.300059,1.2834,2014-03-25 00:00:00+08:00
SZSE.300059,1.2929,2014-03-26 00:00:00+08:00
SZSE.300059,1.2333,2014-03-27 00:00:00+08:00
SZSE.300059,1.2449,2014-03-28 00:00:00+08:00
SZSE.300059,1.2769,2014-03-31 00:00:00+08:00
SZSE.300059,1.38,2014-04-01 00:00:00+08:00
SZSE.300059,1.3699,2014-04-02 00:00:00+08:00
SZSE.300059,1.38,2014-04-03 00:00:00+08:00
SZSE.300059,1.3989,2014-04-04 00:00:00+08:00
