symbol,close,eob
SHSE.600519,111.6268,2014-05-28 00:00:00+08:00
SHSE.600519,111.8806,2014-05-29 00:00:00+08:00
SHSE.600519,111.1047,2014-05-30 00:00:00+08:00
SHSE.600519,110.7784,2014-06-03 00:00:00+08:00
SHSE.600519,109.6036,2014-06-04 00:00:00+08:00
SHSE.600519,112.2286,2014-06-05 00:00:00+08:00
SHSE.600519,111.373,2014-06-06 00:00:00+08:00
SHSE.600519,111.1119,2014-06-09 00:00:00+08:00
SHSE.600519,112.2504,2014-06-10 00:00:00+08:00
SHSE.600519,111.6268,2014-06-11 00:00:00+08:00
SHSE.600519,110.6768,2014-06-12 00:00:00+08:00
SHSE.600519,110.8074,2014-06-13 00:00:00+08:00
SHSE.600519,111.9748,2014-06-16 00:00:00+08:00
SHSE.600519,111.0829,2014-06-17 00:00:00+08:00
SHSE.600519,111.3657,2014-06-18 00:00:00+08:00
SHSE.600519,110.7493,2014-06-19 00:00:00+08:00
SHSE.600519,111.0757,2014-06-20 00:00:00+08:00
SHSE.600519,113.3453,2014-06-23 00:00:00+08:00
SHSE.600519,118.6098,2014-06-24 00:00:00+08:00
SHSE.600519,116.5661,2014-06-25 00:00:00+08:00
SHSE.600519,116.0826,2014-06-26 00:00:00+08:00
SHSE.600519,115.0499,2014-06-27 00:00:00+08:00
SHSE.600519,116.3612,2014-06-30 00:00:00+08:00
SHSE.600519,116.1891,2014-07-01 00:00:00+08:00
SHSE.600519,116.4432,2014-07-02 00:00:00+08:00
SHSE.600519,117.4102,2014-07-03 00:00:00+08:00
SHSE.600519,117.4594,2014-07-04 00:00:00+08:00
SHSE.600519,118.1479,2014-07-07 00:00:00+08:00
SHSE.600519,116.5251,2014-07-08 00:00:00+08:00
SHSE.600519,115.7547,2014-07-09 00:00:00+08:00
SHSE.600519,115.5908,2014-07-10 00:00:00+08:00
SHSE.600519,116.271,2014-07-11 00:00:00+08:00
SHSE.600519,122.7456,2014-07-14 00:00:00+08:00
SHSE.600519,126.0566,2014-07-15 00:00:00+08:00
SHSE.600519,126.6795,2014-07-16 00:00:00+08:00
SHSE.600519,126.0074,2014-07-17 00:00:00+08:00
SHSE.600519,131.9329,2014-07-18 00:00:00+08:00
SHSE.600519,131.9329,2014-07-21 00:00:00+08:00
SHSE.600519,133.7523,2014-07-22 00:00:00+08:00
SHSE.600519,134.3178,2014-07-23 00:00:00+08:00
SHSE.600519,134.0227,2014-07-24 00:00:00+08:00
SHSE.600519,134.3096,2014-07-25 00:00:00+08:00
SHSE.600519,134.6128,2014-07-28 00:00:00+08:00
SHSE.600519,131.9984,2014-07-29 00:00:00+08:00
SHSE.600519,129.9085,2014-07-30 00:00:00+08:00
SHSE.600519,131.351,2014-07-31 00:00:00+08:00
SHSE.600519,133.572,2014-08-01 00:00:00+08:00
SHSE.600519,134.7357,2014-08-04 00:00:00+08:00
SHSE.600519,136.2519,2014-08-05 00:00:00+08:00
SHSE.600519,133.8506,2014-08-06 00:00:00+08:00
SHSE.600519,131.6214,2014-08-07 00:00:00+08:00
SHSE.600519,132.8835,2014-08-08 00:00:00+08:00
SHSE.600519,133.6458,2014-08-11 00:00:00+08:00
SHSE.600519,132.8016,2014-08-12 00:00:00+08:00
SHSE.600519,133.1704,2014-08-13 00:00:00+08:00
SHSE.600519,132.3262,2014-08-14 00:00:00+08:00
SHSE.600519,132.3918,2014-08-15 00:00:00+08:00
SHSE.600519,130.9248,2014-08-18 00:00:00+08:00
SHSE.600519,130.0479,2014-08-19 00:00:00+08:00
SHSE.600519,132.7688,2014-08-20 00:00:00+08:00
SHSE.600519,131.1051,2014-08-21 00:00:00+08:00
SHSE.600519,130.5314,2014-08-22 00:00:00+08:00
SHSE.600519,130.1052,2014-08-25 00:00:00+08:00
SHSE.600519,129.2611,2014-08-26 00:00:00+08:00
SHSE.600519,128.1547,2014-08-27 00:00:00+08:00
SHSE.600519,127.8678,2014-08-28 00:00:00+08:00
SHSE.600519,129.6791,2014-08-29 00:00:00+08:00
SHSE.600519,129.8594,2014-09-01 00:00:00+08:00
SHSE.600519,133.2278,2014-09-02 00:00:00+08:00
SHSE.600519,135.08,2014-09-03 00:00:00+08:00
SHSE.600519,135.2767,2014-09-04 00:00:00+08:00
SHSE.600519,137.2846,2014-09-05 00:00:00+08:00
SHSE.600519,134.4735,2014-09-09 00:00:00+08:00
SHSE.600519,134.3342,2014-09-10 00:00:00+08:00
SHSE.600519,132.7524,2014-09-11 00:00:00+08:00
SHSE.600519,133.1376,2014-09-12 00:00:00+08:00
SHSE.600519,130.6461,2014-09-15 00:00:00+08:00
SHSE.600519,129.048,2014-09-16 00:00:00+08:00
SHSE.600519,129.6791,2014-09-17 00:00:00+08:00
SHSE.600519,130.515,2014-09-18 00:00:00+08:00
SHSE.600519,131.8263,2014-09-19 00:00:00+08:00
SHSE.600519,128.6218,2014-09-22 00:00:00+08:00
SHSE.600519,129.0644,2014-09-23 00:00:00+08:00
SHSE.600519,131.2854,2014-09-24 00:00:00+08:00
SHSE.600519,132.9245,2014-09-25 00:00:00+08:00
SHSE.600519,133.0229,2014-09-26 00:00:00+08:00
SHSE.600519,133.154,2014-09-29 00:00:00+08:00
SHSE.600519,132.8754,2014-09-30 00:00:00+08:00
SHSE.600519,131.728,2014-10-08 00:00:00+08:00
SHSE.600519,131.1379,2014-10-09 00:00:00+08:00
SHSE.600519,130.3265,2014-10-10 00:00:00+08:00
SHSE.600519,127.9334,2014-10-13 00:00:00+08:00
SHSE.600519,126.9581,2014-10-14 00:00:00+08:00
SHSE.600519,128.9333,2014-10-15 00:00:00+08:00
SHSE.600519,128.9333,2014-10-16 00:00:00+08:00
SHSE.600519,129.802,2014-10-17 00:00:00+08:00
SHSE.600519,128.6054,2014-10-20 00:00:00+08:00
SHSE.600519,129.8676,2014-10-21 00:00:00+08:00
SHSE.600519,130.3757,2014-10-22 00:00:00+08:00
SHSE.600519,130.3511,2014-10-23 00:00:00+08:00
SHSE.600519,130.2118,2014-10-24 00:00:00+08:00
SHSE.600519,129.0808,2014-10-27 00:00:00+08:00
SHSE.600519,130.097,2014-10-28 00:00:00+08:00
SHSE.600519,129.7364,2014-10-29 00:00:00+08:00
SHSE.600519,127.3761,2014-10-30 00:00:00+08:00
SHSE.600519,128.4087,2014-10-31 00:00:00+08:00
SHSE.600519,127.5072,2014-11-03 00:00:00+08:00
SHSE.600519,124.0733,2014-11-04 00:00:00+08:00
SHSE.600519,119.7788,2014-11-05 00:00:00+08:00
SHSE.600519,120.5983,2014-11-06 00:00:00+08:00
SHSE.600519,121.3277,2014-11-07 00:00:00+08:00
SHSE.600519,126.0238,2014-11-10 00:00:00+08:00
SHSE.600519,125.6796,2014-11-11 00:00:00+08:00
SHSE.600519,125.3026,2014-11-12 00:00:00+08:00
SHSE.600519,124.229,2014-11-13 00:00:00+08:00
SHSE.600519,128.9087,2014-11-14 00:00:00+08:00
SHSE.600519,131.1707,2014-11-17 00:00:00+08:00
SHSE.600519,127.5646,2014-11-18 00:00:00+08:00
SHSE.600519,125.4501,2014-11-19 00:00:00+08:00
SHSE.600519,123.4914,2014-11-20 00:00:00+08:00
SHSE.600519,125.4993,2014-11-21 00:00:00+08:00
SHSE.600519,126.1713,2014-11-24 00:00:00+08:00
SHSE.600519,126.7368,2014-11-25 00:00:00+08:00
SHSE.600519,127.8105,2014-11-26 00:00:00+08:00
SHSE.600519,128.4087,2014-11-27 00:00:00+08:00
SHSE.600519,127.7203,2014-11-28 00:00:00+08:00
SHSE.600519,131.1789,2014-12-01 00:00:00+08:00
SHSE.600519,132.064,2014-12-02 00:00:00+08:00
SHSE.600519,135.0882,2014-12-03 00:00:00+08:00
SHSE.600519,142.7101,2014-12-04 00:00:00+08:00
SHSE.600519,140.0793,2014-12-05 00:00:00+08:00
SHSE.600519,141.7594,2014-12-08 00:00:00+08:00
SHSE.600519,141.6692,2014-12-09 00:00:00+08:00
SHSE.600519,147.4553,2014-12-10 00:00:00+08:00
SHSE.600519,144.1525,2014-12-11 00:00:00+08:00
SHSE.600519,144.7262,2014-12-12 00:00:00+08:00
SHSE.600519,150.8319,2014-12-15 00:00:00+08:00
SHSE.600519,148.0372,2014-12-16 00:00:00+08:00
SHSE.600519,146.7587,2014-12-17 00:00:00+08:00
SHSE.600519,146.98,2014-12-18 00:00:00+08:00
SHSE.600519,148.1929,2014-12-19 00:00:00+08:00
SHSE.600519,150.8811,2014-12-22 00:00:00+08:00
SHSE.600519,154.7822,2014-12-23 00:00:00+08:00
SHSE.600519,150.0288,2014-12-24 00:00:00+08:00
SHSE.600519,152.2989,2014-12-25 00:00:00+08:00
SHSE.600519,153.725,2014-12-26 00:00:00+08:00
SHSE.600519,150.373,2014-12-29 00:00:00+08:00
SHSE.600519,153.1267,2014-12-30 00:00:00+08:00
SHSE.600519,155.4051,2014-12-31 00:00:00+08:00
SHSE.600519,165.9774,2015-01-05 00:00:00+08:00
SHSE.600519,162.1337,2015-01-06 00:00:00+08:00
SHSE.600519,158.126,2015-01-07 00:00:00+08:00
SHSE.600519,157.1589,2015-01-08 00:00:00+08:00
SHSE.600519,155.9706,2015-01-09 00:00:00+08:00
SHSE.600519,152.7907,2015-01-12 00:00:00+08:00
SHSE.600519,151.5204,2015-01-13 00:00:00+08:00
SHSE.600519,150.1271,2015-01-14 00:00:00+08:00
SHSE.600519,152.4956,2015-01-15 00:00:00+08:00
SHSE.600519,152.5284,2015-01-16 00:00:00+08:00
SHSE.600519,143.8165,2015-01-19 00:00:00+08:00
SHSE.600519,145.9473,2015-01-20 00:00:00+08:00
SHSE.600519,149.4551,2015-01-21 00:00:00+08:00
SHSE.600519,148.5289,2015-01-22 00:00:00+08:00
SHSE.600519,148.3568,2015-01-23 00:00:00+08:00
SHSE.600519,149.8157,2015-01-26 00:00:00+08:00
SHSE.600519,147.6111,2015-01-27 00:00:00+08:00
SHSE.600519,145.4474,2015-01-28 00:00:00+08:00
SHSE.600519,144.3656,2015-01-29 00:00:00+08:00
SHSE.600519,145.2097,2015-01-30 00:00:00+08:00
SHSE.600519,143.2756,2015-02-02 00:00:00+08:00
SHSE.600519,146.185,2015-02-03 00:00:00+08:00
SHSE.600519,145.2671,2015-02-04 00:00:00+08:00
SHSE.600519,142.6445,2015-02-05 00:00:00+08:00
SHSE.600519,143.0953,2015-02-06 00:00:00+08:00
SHSE.600519,151.045,2015-02-09 00:00:00+08:00
SHSE.600519,149.8812,2015-02-10 00:00:00+08:00
SHSE.600519,150.1025,2015-02-11 00:00:00+08:00
SHSE.600519,150.4467,2015-02-12 00:00:00+08:00
SHSE.600519,149.5616,2015-02-13 00:00:00+08:00
SHSE.600519,150.2336,2015-02-16 00:00:00+08:00
SHSE.600519,149.3403,2015-02-17 00:00:00+08:00
SHSE.600519,150.7664,2015-02-25 00:00:00+08:00
SHSE.600519,152.9628,2015-02-26 00:00:00+08:00
SHSE.600519,156.5771,2015-02-27 00:00:00+08:00
SHSE.600519,156.3148,2015-03-02 00:00:00+08:00
SHSE.600519,152.3973,2015-03-03 00:00:00+08:00
SHSE.600519,153.4135,2015-03-04 00:00:00+08:00
SHSE.600519,152.0449,2015-03-05 00:00:00+08:00
SHSE.600519,150.4877,2015-03-06 00:00:00+08:00
SHSE.600519,156.995,2015-03-09 00:00:00+08:00
SHSE.600519,153.9381,2015-03-10 00:00:00+08:00
SHSE.600519,157.3392,2015-03-11 00:00:00+08:00
SHSE.600519,157.9703,2015-03-12 00:00:00+08:00
SHSE.600519,155.6427,2015-03-13 00:00:00+08:00
SHSE.600519,158.798,2015-03-16 00:00:00+08:00
SHSE.600519,161.2649,2015-03-17 00:00:00+08:00
SHSE.600519,163.4613,2015-03-18 00:00:00+08:00
SHSE.600519,160.0438,2015-03-19 00:00:00+08:00
SHSE.600519,158.2981,2015-03-20 00:00:00+08:00
SHSE.600519,159.8799,2015-03-23 00:00:00+08:00
SHSE.600519,160.3798,2015-03-24 00:00:00+08:00
SHSE.600519,157.9949,2015-03-25 00:00:00+08:00
SHSE.600519,162.7319,2015-03-26 00:00:00+08:00
SHSE.600519,159.4455,2015-03-27 00:00:00+08:00
SHSE.600519,161.2649,2015-03-30 00:00:00+08:00
SHSE.600519,160.6011,2015-03-31 00:00:00+08:00
SHSE.600519,160.093,2015-04-01 00:00:00+08:00
SHSE.600519,159.4701,2015-04-02 00:00:00+08:00
SHSE.600519,161.2977,2015-04-03 00:00:00+08:00
SHSE.600519,164.4612,2015-04-07 00:00:00+08:00
SHSE.600519,167.6001,2015-04-08 00:00:00+08:00
SHSE.600519,163.9121,2015-04-09 00:00:00+08:00
SHSE.600519,164.0924,2015-04-10 00:00:00+08:00
SHSE.600519,167.1084,2015-04-13 00:00:00+08:00
SHSE.600519,168.8295,2015-04-14 00:00:00+08:00
SHSE.600519,168.5836,2015-04-15 00:00:00+08:00
SHSE.600519,185.442,2015-04-16 00:00:00+08:00
SHSE.600519,190.597,2015-04-17 00:00:00+08:00
SHSE.600519,191.8018,2015-04-20 00:00:00+08:00
SHSE.600519,210.9795,2015-04-21 00:00:00+08:00
SHSE.600519,216.2738,2015-04-22 00:00:00+08:00
SHSE.600519,209.8403,2015-04-23 00:00:00+08:00
SHSE.600519,211.8482,2015-04-24 00:00:00+08:00
SHSE.600519,209.6354,2015-04-27 00:00:00+08:00
SHSE.600519,203.1609,2015-04-28 00:00:00+08:00
SHSE.600519,204.7098,2015-04-29 00:00:00+08:00
SHSE.600519,206.7178,2015-04-30 00:00:00+08:00
SHSE.600519,208.9634,2015-05-04 00:00:00+08:00
SHSE.600519,197.4731,2015-05-05 00:00:00+08:00
SHSE.600519,198.891,2015-05-06 00:00:00+08:00
SHSE.600519,200.735,2015-05-07 00:00:00+08:00
SHSE.600519,208.3077,2015-05-08 00:00:00+08:00
SHSE.600519,210.9877,2015-05-11 00:00:00+08:00
SHSE.600519,208.5126,2015-05-12 00:00:00+08:00
SHSE.600519,210.1353,2015-05-13 00:00:00+08:00
SHSE.600519,206.0457,2015-05-14 00:00:00+08:00
SHSE.600519,200.9317,2015-05-15 00:00:00+08:00
SHSE.600519,197.6288,2015-05-18 00:00:00+08:00
SHSE.600519,204.9229,2015-05-19 00:00:00+08:00
SHSE.600519,208.1274,2015-05-20 00:00:00+08:00
SHSE.600519,211.9302,2015-05-21 00:00:00+08:00
SHSE.600519,226.084,2015-05-22 00:00:00+08:00
SHSE.600519,235.0745,2015-05-25 00:00:00+08:00
SHSE.600519,234.0173,2015-05-26 00:00:00+08:00
SHSE.600519,226.9363,2015-05-27 00:00:00+08:00
SHSE.600519,213.9955,2015-05-28 00:00:00+08:00
SHSE.600519,216.2247,2015-05-29 00:00:00+08:00
SHSE.600519,222.4779,2015-06-01 00:00:00+08:00
SHSE.600519,218.5112,2015-06-02 00:00:00+08:00
SHSE.600519,215.3723,2015-06-03 00:00:00+08:00
SHSE.600519,211.6187,2015-06-04 00:00:00+08:00
SHSE.600519,208.0372,2015-06-05 00:00:00+08:00
SHSE.600519,216.8885,2015-06-08 00:00:00+08:00
SHSE.600519,212.2908,2015-06-09 00:00:00+08:00
SHSE.600519,213.9463,2015-06-10 00:00:00+08:00
SHSE.600519,213.1349,2015-06-11 00:00:00+08:00
SHSE.600519,218.0031,2015-06-12 00:00:00+08:00
SHSE.600519,213.8152,2015-06-15 00:00:00+08:00
SHSE.600519,208.1274,2015-06-16 00:00:00+08:00
SHSE.600519,209.0617,2015-06-17 00:00:00+08:00
SHSE.600519,199.9482,2015-06-18 00:00:00+08:00
SHSE.600519,192.8508,2015-06-19 00:00:00+08:00
SHSE.600519,206.7342,2015-06-23 00:00:00+08:00
SHSE.600519,214.0774,2015-06-24 00:00:00+08:00
SHSE.600519,206.3571,2015-06-25 00:00:00+08:00
SHSE.600519,198.7025,2015-06-26 00:00:00+08:00
SHSE.600519,202.1364,2015-06-29 00:00:00+08:00
SHSE.600519,211.1598,2015-06-30 00:00:00+08:00
SHSE.600519,211.0286,2015-07-01 00:00:00+08:00
SHSE.600519,213.3316,2015-07-02 00:00:00+08:00
SHSE.600519,204.7344,2015-07-03 00:00:00+08:00
SHSE.600519,208.2012,2015-07-06 00:00:00+08:00
SHSE.600519,200.1203,2015-07-07 00:00:00+08:00
SHSE.600519,194.1211,2015-07-08 00:00:00+08:00
SHSE.600519,211.3974,2015-07-09 00:00:00+08:00
SHSE.600519,217.6671,2015-07-10 00:00:00+08:00
SHSE.600519,211.2417,2015-07-13 00:00:00+08:00
SHSE.600519,204.1116,2015-07-14 00:00:00+08:00
SHSE.600519,205.9228,2015-07-15 00:00:00+08:00
SHSE.600519,206.1932,2015-07-16 00:00:00+08:00
SHSE.600519,209.4486,2015-07-17 00:00:00+08:00
SHSE.600519,206.531,2015-07-20 00:00:00+08:00
SHSE.600519,203.3658,2015-07-21 00:00:00+08:00
SHSE.600519,199.2097,2015-07-22 00:00:00+08:00
SHSE.600519,201.4207,2015-07-23 00:00:00+08:00
SHSE.600519,201.118,2015-07-24 00:00:00+08:00
SHSE.600519,184.888,2015-07-27 00:00:00+08:00
SHSE.600519,188.8423,2015-07-28 00:00:00+08:00
SHSE.600519,190.5946,2015-07-29 00:00:00+08:00
SHSE.600519,188.9615,2015-07-30 00:00:00+08:00
SHSE.600519,189.7597,2015-07-31 00:00:00+08:00
SHSE.600519,192.2644,2015-08-03 00:00:00+08:00
SHSE.600519,194.4755,2015-08-04 00:00:00+08:00
SHSE.600519,190.09,2015-08-05 00:00:00+08:00
SHSE.600519,188.0441,2015-08-06 00:00:00+08:00
SHSE.600519,189.8515,2015-08-07 00:00:00+08:00
SHSE.600519,194.7783,2015-08-10 00:00:00+08:00
SHSE.600519,193.3562,2015-08-11 00:00:00+08:00
SHSE.600519,192.1819,2015-08-12 00:00:00+08:00
SHSE.600519,192.2186,2015-08-13 00:00:00+08:00
SHSE.600519,192.6497,2015-08-14 00:00:00+08:00
SHSE.600519,189.2001,2015-08-17 00:00:00+08:00
SHSE.600519,184.4659,2015-08-18 00:00:00+08:00
SHSE.600519,184.9797,2015-08-19 00:00:00+08:00
SHSE.600519,178.9703,2015-08-20 00:00:00+08:00
SHSE.600519,170.9517,2015-08-21 00:00:00+08:00
SHSE.600519,155.6391,2015-08-24 00:00:00+08:00
SHSE.600519,162.0155,2015-08-25 00:00:00+08:00
SHSE.600519,168.7039,2015-08-26 00:00:00+08:00
SHSE.600519,180.8053,2015-08-27 00:00:00+08:00
SHSE.600519,176.75,2015-08-28 00:00:00+08:00
SHSE.600519,179.2455,2015-08-31 00:00:00+08:00
SHSE.600519,178.3281,2015-09-01 00:00:00+08:00
SHSE.600519,178.5483,2015-09-02 00:00:00+08:00
SHSE.600519,173.1352,2015-09-07 00:00:00+08:00
SHSE.600519,173.6949,2015-09-08 00:00:00+08:00
SHSE.600519,176.0253,2015-09-09 00:00:00+08:00
SHSE.600519,177.2638,2015-09-10 00:00:00+08:00
SHSE.600519,176.9886,2015-09-11 00:00:00+08:00
SHSE.600519,185.8146,2015-09-14 00:00:00+08:00
SHSE.600519,185.3284,2015-09-15 00:00:00+08:00
SHSE.600519,187.6679,2015-09-16 00:00:00+08:00
SHSE.600519,181.6585,2015-09-17 00:00:00+08:00
SHSE.600519,182.9705,2015-09-18 00:00:00+08:00
SHSE.600519,182.8512,2015-09-21 00:00:00+08:00
SHSE.600519,182.8237,2015-09-22 00:00:00+08:00
SHSE.600519,178.6492,2015-09-23 00:00:00+08:00
SHSE.600519,177.9886,2015-09-24 00:00:00+08:00
SHSE.600519,177.4932,2015-09-25 00:00:00+08:00
SHSE.600519,175.5849,2015-09-28 00:00:00+08:00
SHSE.600519,174.4747,2015-09-29 00:00:00+08:00
SHSE.600519,174.6032,2015-09-30 00:00:00+08:00
SHSE.600519,181.2181,2015-10-08 00:00:00+08:00
SHSE.600519,180.6952,2015-10-09 00:00:00+08:00
SHSE.600519,181.7411,2015-10-12 00:00:00+08:00
SHSE.600519,182.3374,2015-10-13 00:00:00+08:00
SHSE.600519,181.5025,2015-10-14 00:00:00+08:00
SHSE.600519,183.4843,2015-10-15 00:00:00+08:00
SHSE.600519,184.1724,2015-10-16 00:00:00+08:00
SHSE.600519,185.989,2015-10-19 00:00:00+08:00
SHSE.600519,185.3008,2015-10-20 00:00:00+08:00
SHSE.600519,183.7778,2015-10-21 00:00:00+08:00
SHSE.600519,185.8146,2015-10-22 00:00:00+08:00
SHSE.600519,193.5672,2015-10-23 00:00:00+08:00
SHSE.600519,199.7601,2015-10-26 00:00:00+08:00
SHSE.600519,197.4848,2015-10-27 00:00:00+08:00
SHSE.600519,194.9067,2015-10-28 00:00:00+08:00
SHSE.600519,195.4205,2015-10-29 00:00:00+08:00
SHSE.600519,196.2095,2015-10-30 00:00:00+08:00
SHSE.600519,195.0168,2015-11-02 00:00:00+08:00
SHSE.600519,192.402,2015-11-03 00:00:00+08:00
SHSE.600519,197.2371,2015-11-04 00:00:00+08:00
SHSE.600519,198.6867,2015-11-05 00:00:00+08:00
SHSE.600519,200.3932,2015-11-06 00:00:00+08:00
SHSE.600519,202.6043,2015-11-09 00:00:00+08:00
SHSE.600519,204.0264,2015-11-10 00:00:00+08:00
SHSE.600519,201.9804,2015-11-11 00:00:00+08:00
SHSE.600519,201.8519,2015-11-12 00:00:00+08:00
SHSE.600519,197.3564,2015-11-13 00:00:00+08:00
SHSE.600519,196.1361,2015-11-16 00:00:00+08:00
SHSE.600519,196.6683,2015-11-17 00:00:00+08:00
SHSE.600519,196.9435,2015-11-18 00:00:00+08:00
SHSE.600519,197.283,2015-11-19 00:00:00+08:00
SHSE.600519,196.0811,2015-11-20 00:00:00+08:00
SHSE.600519,195.0719,2015-11-23 00:00:00+08:00
SHSE.600519,194.2186,2015-11-24 00:00:00+08:00
SHSE.600519,195.4022,2015-11-25 00:00:00+08:00
SHSE.600519,195.2737,2015-11-26 00:00:00+08:00
SHSE.600519,190.5946,2015-11-27 00:00:00+08:00
SHSE.600519,196.6224,2015-11-30 00:00:00+08:00
SHSE.600519,196.1545,2015-12-01 00:00:00+08:00
SHSE.600519,203.2924,2015-12-02 00:00:00+08:00
SHSE.600519,202.0263,2015-12-03 00:00:00+08:00
SHSE.600519,197.5399,2015-12-04 00:00:00+08:00
SHSE.600519,196.8059,2015-12-07 00:00:00+08:00
